A_1,A_2,B,performance
0.1,0.1,0.1,2.05
0.1,0.1,1.0,0.0
0.1,0.1,10.0,0.0
0.1,0.1,100.0,0.01
0.1,0.1,1000.0,0.09
0.1,1.0,0.1,11.09
0.1,1.0,1.0,0.65
0.1,1.0,10.0,0.0
0.1,1.0,100.0,0.0
0.1,1.0,1000.0,0.02
0.1,10.0,0.1,9.59
0.1,10.0,1.0,8.98
0.1,10.0,10.0,0.18
0.1,10.0,100.0,0.01
0.1,10.0,1000.0,0.12
0.1,100.0,0.1,4.42
0.1,100.0,1.0,10.61
0.1,100.0,10.0,2.53
0.1,100.0,100.0,0.14
0.1,100.0,1000.0,0.06
0.1,1000.0,0.1,0.02
0.1,1000.0,1.0,0.51
0.1,1000.0,10.0,0.09
0.1,1000.0,100.0,0.04
0.1,1000.0,1000.0,0.0
1.0,0.1,0.1,11.1
1.0,0.1,1.0,0.29
1.0,0.1,10.0,0.0
1.0,0.1,100.0,0.03
1.0,0.1,1000.0,0.04
1.0,1.0,0.1,95.62
1.0,1.0,1.0,32.75
1.0,1.0,10.0,0.0
1.0,1.0,100.0,0.01
1.0,1.0,1000.0,0.04
1.0,10.0,0.1,17.0
1.0,10.0,1.0,11.22
1.0,10.0,10.0,0.52
1.0,10.0,100.0,0.02
1.0,10.0,1000.0,0.07
1.0,100.0,0.1,0.06
1.0,100.0,1.0,6.46
1.0,100.0,10.0,0.05
1.0,100.0,100.0,0.08
1.0,100.0,1000.0,0.05
1.0,1000.0,0.1,0.1
1.0,1000.0,1.0,0.03
1.0,1000.0,10.0,0.02
1.0,1000.0,100.0,0.04
1.0,1000.0,1000.0,0.11
10.0,0.1,0.1,9.39
10.0,0.1,1.0,9.19
10.0,0.1,10.0,0.2
10.0,0.1,100.0,0.03
10.0,0.1,1000.0,0.02
10.0,1.0,0.1,16.99
10.0,1.0,1.0,10.94
10.0,1.0,10.0,0.35
10.0,1.0,100.0,0.01
10.0,1.0,1000.0,0.14
10.0,10.0,0.1,93.56
10.0,10.0,1.0,90.73
10.0,10.0,10.0,47.38
10.0,10.0,100.0,0.01
10.0,10.0,1000.0,0.04
10.0,100.0,0.1,8.35
10.0,100.0,1.0,3.29
10.0,100.0,10.0,1.75
10.0,100.0,100.0,0.13
10.0,100.0,1000.0,0.02
10.0,1000.0,0.1,1.25
10.0,1000.0,1.0,0.0
10.0,1000.0,10.0,0.02
10.0,1000.0,100.0,0.05
10.0,1000.0,1000.0,0.05
100.0,0.1,0.1,6.13
100.0,0.1,1.0,9.35
100.0,0.1,10.0,6.75
100.0,0.1,100.0,0.03
100.0,0.1,1000.0,0.05
100.0,1.0,0.1,7.47
100.0,1.0,1.0,5.54
100.0,1.0,10.0,0.29
100.0,1.0,100.0,0.04
100.0,1.0,1000.0,0.04
100.0,10.0,0.1,9.01
100.0,10.0,1.0,1.49
100.0,10.0,10.0,0.05
100.0,10.0,100.0,0.11
100.0,10.0,1000.0,0.04
100.0,100.0,0.1,57.53
100.0,100.0,1.0,0.03
100.0,100.0,10.0,1.91
100.0,100.0,100.0,0.1
100.0,100.0,1000.0,0.05
100.0,1000.0,0.1,0.01
100.0,1000.0,1.0,0.0
100.0,1000.0,10.0,0.03
100.0,1000.0,100.0,0.11
100.0,1000.0,1000.0,0.08
1000.0,0.1,0.1,0.02
1000.0,0.1,1.0,0.2
1000.0,0.1,10.0,0.12
1000.0,0.1,100.0,0.04
1000.0,0.1,1000.0,0.04
1000.0,1.0,0.1,0.1
1000.0,1.0,1.0,0.05
1000.0,1.0,10.0,0.02
1000.0,1.0,100.0,0.05
1000.0,1.0,1000.0,0.05
1000.0,10.0,0.1,0.63
1000.0,10.0,1.0,0.04
1000.0,10.0,10.0,0.04
1000.0,10.0,100.0,0.04
1000.0,10.0,1000.0,0.01
1000.0,100.0,0.1,0.0
1000.0,100.0,1.0,0.01
1000.0,100.0,10.0,0.01
1000.0,100.0,100.0,0.06
1000.0,100.0,1000.0,0.05
1000.0,1000.0,0.1,0.0
1000.0,1000.0,1.0,0.17
1000.0,1000.0,10.0,0.0
1000.0,1000.0,100.0,0.05
1000.0,1000.0,1000.0,0.02
